Structure,Most Acidic pKa,Most Basic pKa
[C@H](COc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F)(c1cc(c(cc1)F)F)NC,7,8.16998
[C@H]1([C@@H](N(C1)C1CC1)c1cc(c(cc1)F)F)Oc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F,7,7.43238
[C@H]1([C@@H](N(C1=O)C1CC1)c1cc(c(cc1)F)F)Oc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F,7,4.17466
[C@H]1([C@H](N(C1)C1CC1)c1ccc(c(c1)F)F)Oc1cncc2nnc(n12)c1ccc(cc1)OC(F)F,7,7.12425
[C@H]1(C(N([C@@H]1c1cc(c(cc1)F)F)C1CC1)=O)Oc1ncc2n(c1)c(nn2)c1ccc(cc1)OC(F)F,7,4.10159
C(COc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F)(c1ccc(c(c1)F)F)(F)C,7,4.38894
C(COc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F)(c1ccc(c(c1)F)F)(O)C,9.04186,4.28343
C(COc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F)(c1ccc(c(c1)F)F)F,7,4.34843
C=1\NC(c2n(/C1/OCCc1cc(c(cc1)F)F)c(nn2)c1ccc(cc1)OC(F)F)=O,8.41098,4.53907
c1(C(NCc2cncc3n2c(nn3)c2ccc(cc2)OC(F)F)=O)cc(ccc1)Cl,7,4.64769
C1(CC1)(C(Oc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F)C(F)(F)F)c1ccc(c(c1)F)F,7,4.18131
c1(ccc2n(n1)c(nn2)c1ccc(cc1)C#N)NCCc1cnccc1,11.2572,5.04869
c1(ccc2n(n1)c(nn2)c1ccc(cc1)OC(F)F)NCCc1ccc(cc1)F,10.5234,4.75356
c1(ccc2n(n1)c(nn2)c1ccc(cc1)OC(F)F)OCCc1cc(c(cc1)F)F,7,4.53136
c1(ccccc1)CCCC1CNCc2n1c(nn2)c1ccc(cc1)OC(F)F,7,7.95844
c1(CCN2CCOCC2)cncc2n1c(nn2)c1ccc(cc1)OC(F)F,7,7.44563
C1(CN(C1)c1cc(c(cc1)F)F)Oc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F,7,5.6487
C1(COC1)(COc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F)c1cc(c(cc1)F)F,7,4.33565
c1(ncc2n(c1)c(nn2)c1ccc(cc1)OC(F)F)Nc1ccc(c(c1)F)F,9.53358,4.33158
c1(ncc2n(c1)c(nn2)c1ccc(cc1)OC(F)F)NCc1cc(c(cc1)F)F,10.5591,4.37365
c1(ncc2n(c1)c(nn2)c1ccc(cc1)OC(F)F)Oc1ccc(c(c1)F)F,7,4.07299
c1(ncc2n(c1)c(nn2)c1ccc(cc1)OC(F)F)OCc1cc(c(cc1)F)F,7,4.21133
c1(ncc2n(c1)c(nn2)c1ccc(cc1)OC(F)F)OCCc1cc(c(cc1)F)F,7,4.36534
FC(F)OC1=CC=C(C=C1)C2=NN=C3C=[N](=O)C=C(OCCC4=CC=C(F)C(=C4)F)[N]23,7,4.39142
C12=NN=C(C3=CC(C=CC=C4)=C4C=C3)N1C(OCC5=NC=CC=C5)=CN=C2,7,4.91423
C12=NN=C(C3=CC(C=CC=C4)=C4C=C3)N1C(OCCC5=CC=CC=C5)=CN=C2,7,4.86201
C12=NN=C(C3=CC(OCO4)=C4C=C3)N1C(OCC5=NC=CC=C5)=CN=C2,7,4.69278
C12=NN=C(C3=CC(OCO4)=C4C=C3)N1C(OCCC5=CC=CC=C5)=CN=C2,7,4.54717
C12=NN=C(C3=CC=CC=C3)N1C(OCCC4=CC=CC=C4)=CN=C2,7,4.68688
c1c(c(ccc1Cl)Cl)CNC(c1cncc2n1c(nn2)c1ccc(cc1)OC(F)F)=O,7,4.22218
c1c(ccc(c1F)F)CNC(c1cncc2n1c(nn2)c1ccc(cc1)OC(F)F)=O,7,4.22771
c1cc(cc2c1n(cc2)C)Oc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F,7,4.94629
C1N(Cc2n(C1)c(nn2)c1ccc(cc1)OC(F)F)C(CN)=O,7,7.45805
c1nc(c2n(c1OCCc1cc(c(cc1)F)F)c(nn2)c1ccc(cc1)OC(F)F)C,7,4.46247
c1nc(c2n(c1OCCc1cc(c(cc1)F)F)c(nn2)c1ccc(cc1)OC(F)F)Cl,7,4.10913
c1nc(c2n(c1OCCc1cc(c(cc1)F)F)c(nn2)c1ccc(cc1)OC(F)F)N,8.33637,4.45539
c1nc(c2n(c1OCCc1cc(c(cc1)F)F)c(nn2)c1ccc(cc1)OC(F)F)N(CC)CC,7,4.45057
c1ncc2cnc(n2c1OCCc1cc(c(cc1)F)F)c1ccc(cc1)Cl,7,3.58509
C1NCc2n(C1)c(nn2)c1ccc(cc1)OC(F)F,7,7.88553
c1ncc2n(c1C(=O)N(Cc1cc(ccc1)Cl)C)c(nn2)c1ccc(cc1)OC(F)F,7,4.27574
c1ncc2n(c1C(=O)N[C@@H](c1ccccc1)C)c(nn2)c1ccc(cc1)OC(F)F,7,4.24897
c1ncc2n(c1C(=O)N[C@H](c1ccccc1)C)c(nn2)c1ccc(cc1)OC(F)F,7,4.23655
c1ncc2n(c1C(=O)N1CCc3c1ccc(c3)F)c(nn2)c1ccc(cc1)OC(F)F,7,4.40889
c1ncc2n(c1C(=O)Nc1ccc(cc1Cl)F)c(nn2)c1ccc(cc1)OC(F)F,7.89916,4.15677
c1ncc2n(c1C(=O)NC1CCc3c1ccc(c3)Cl)c(nn2)c1ccc(cc1)OC(F)F,7,4.30139
c1ncc2n(c1C(=O)Nc1ccnc(c1)C(F)(F)F)c(nn2)c1c(nn(c1C)c1ccc(cc1)F)C,8.41537,6.15269
c1ncc2n(c1C(=O)NCCc1ccccc1)c(nn2)c1ccc(cc1)OC(F)F,7,4.20117
c1ncc2n(c1C(N1C(CCC1)c1ccccc1)=O)c(nn2)c1ccc(cc1)OC(F)F,7,4.17613
c1ncc2n(c1C(N1CCCC1)=O)c(nn2)c1ccc(cc1)OC(F)F,7,4.15963
c1ncc2n(c1C(N1CCN(CC1)c1ncccc1)=O)c(nn2)c1ccc(cc1)OC(F)F,7,6.10641
c1ncc2n(c1C(N1CCN(CC1)S(=O)(C)=O)=O)c(nn2)c1ccc(cc1)OC(F)F,7,4.18774
c1ncc2n(c1C(N1CCOCC1)=O)c(nn2)c1ccc(cc1)OC(F)F,7,4.08791
c1ncc2n(c1C(Nc1ncccc1)=O)c(nn2)c1ccc(cc1)OC(F)F,8.6473,4.26222
c1ncc2n(c1C(NCc1cc(ccc1)Cl)=O)c(nn2)c1ccc(cc1)OC(F)F,7,4.19431
c1ncc2n(c1C(NCc1ccc(cc1)Cl)=O)c(nn2)c1ccc(cc1)OC(F)F,7,4.19753
c1ncc2n(c1C(NCc1ccccc1Cl)=O)c(nn2)c1ccc(cc1)OC(F)F,7,4.19243
c1ncc2n(c1C(NCC1CCOCC1)=O)c(nn2)c1ccc(cc1)OC(F)F,7,4.06461
c1ncc2n(c1C(NCCN1CCOCC1)=O)c(nn2)c1ccc(cc1)OC(F)F,7,7.77338
c1ncc2n(c1CCCc1cc(c(cc1)F)F)c(nn2)c1ccc(cc1)OC(F)F,7,4.6708
c1ncc2n(c1CCN1Cc3c(C1)cccc3)c(nn2)c1ccc(cc1)OC(F)F,7,8.07316
C1NCc2n(C1CCO)c(nn2)c1ccc(cc1)OC(F)F,12.7664,8.07927
c1ncc2n(c1CCO)c(nn2)c1ccc(cc1)OC(F)F,12.3819,4.47306
c1ncc2n(c1N[C@H](c1cc(c(cc1)F)F)CO)c(nn2)c1ccc(cc1)OC(F)F,9.54585,5.3474
c1ncc2n(c1N1CCC(C1)c1ccccc1)c(nn2)c1ccc(cc1)OC(F)F,7,4.85605
c1ncc2n(c1n1ccnc1Cc1cc(c(cc1)F)F)c(nn2)c1ccc(cc1)OC(F)F,7,5.54339
c1ncc2n(c1n1ncc(c1)c1cc(c(cc1)F)F)c(nn2)c1ccc(cc1)OC(F)F,7,5.11785
c1ncc2n(c1Nc1ccc(c(c1)Cl)Cl)c(nn2)c1ccc(cc1)OC(F)F,9.48153,4.92332
c1ncc2n(c1OC[C@@H](c1cc(c(cc1)F)F)N)c(nn2)c1ccc(cc1)OC(F)F,7,7.85424
c1ncc2n(c1Oc1cc(c(cc1)Cl)C(F)(F)F)c(nn2)c1ccc(cc1)OC(F)F,7,4.27878
c1ncc2n(c1Oc1cc(c(cc1)Cl)Cl)c(nn2)c1ccc(cc1)OC(F)F,7,4.28115
c1ncc2n(c1Oc1cc3c(cc1)ccc(n3)C(F)(F)F)c(nn2)c1ccc(cc1)OC(F)F,7,4.22137
c1ncc2n(c1Oc1cc3c(cc1)cccc3)c(nn2)c1ccc(cc1)OC(F)F,7,4.58959
c1ncc2n(c1Oc1cc3c(cc1)CCCC3)c(nn2)c1ccc(cc1)OC(F)F,7,4.41287
c1ncc2n(c1Oc1cc3nc(ccc3cc1)OC)c(nn2)c1ccc(cc1)OC(F)F,7,4.52049
c1ncc2n(c1Oc1ccc(c(c1)Cl)Cl)c(nn2)c1c(n(nc1C)c1ccc(cc1)F)C,7,6.54611
c1ncc2n(c1Oc1ccc(cc1)C(C)(C)C)c(nn2)c1ccc(cc1)OC(F)F,7,4.52997
c1ncc2n(c1Oc1ccc(cc1)C(F)(F)F)c(nn2)c1ccc(cc1)OC(F)F,7,4.29272
c1ncc2n(c1Oc1ccc(cc1)Cl)c(nn2)c1ccc(cc1)OC(F)F,7,4.35007
c1ncc2n(c1Oc1ccc(cc1)S(F)(F)(F)(F)F)c(nn2)c1ccc(cc1)OC(F)F,Error,Error
c1ncc2n(c1Oc1ccc/3c(c1)OC(/C=C3/C)(C)C)c(nn2)c1ccc(cc1)OC(F)F,7,4.95821
c1ncc2n(c1Oc1ccc3c(c1)cc(c(c3)F)F)c(nn2)c1ccc(cc1)OC(F)F,7,4.47685
c1ncc2n(c1Oc1ccc3c(c1)cc(cc3F)F)c(nn2)c1ccc(cc1)OC(F)F,7,4.51937
c1ncc2n(c1Oc1ccc3c(c1)cnc(n3)C(F)(F)F)c(nn2)c1ccc(cc1)OC(F)F,7,4.43125
c1ncc2n(c1Oc1ccc3c(c1)n(nc3)C)c(nn2)c1ccc(cc1)OC(F)F,7,6.15891
c1ncc2n(c1Oc1ccc3c(c1)nn(c3)C)c(nn2)c1ccc(cc1)OC(F)F,7,5.93287
c1ncc2n(c1Oc1ccc3c(c1)onc3C)c(nn2)c1ccc(cc1)OC(F)F,7,6.09204
c1ncc2n(c1Oc1ccc3c(c1)scc3)c(nn2)c1ccc(cc1)OC(F)F,7,4.84243
c1ncc2n(c1Oc1cccc(c1)Cl)c(nn2)c1ccc(cc1)OC(F)F,7,4.35315
c1ncc2n(c1Oc1cccc(c1)Oc1ccccn1)c(nn2)c1ccc(cc1)OC(F)F,7,4.30917
c1ncc2n(c1OCC(c1cc(c(cc1)F)F)CO)c(nn2)c1ccc(cc1)OC(F)F,10.9191,4.54134
c1ncc2n(c1OCC(c1cc(c(cc1)F)F)N1CCOCC1)c(nn2)c1ccc(cc1)OC(F)F,7,7.44147
c1ncc2n(c1OCC(F)(F)F)c(nn2)c1c(n(nc1C)c1ccc(cc1)F)C,7,6.45035
c1ncc2n(c1OCC1CCc3c1ccc(c3)Cl)c(nn2)c1ccc(cc1)OC(F)F,7,4.51843
c1ncc2n(c1OCCc1cc(c(cc1)F)F)c(cn2)c1ccc(cc1)Cl,7,4.20599
c1ncc2n(c1OCCc1cc(c(cc1)F)F)c(nn2)C1CCN(CC1)C(C)=O,7,4.74723
c1ncc2n(c1OCCc1cc(c(cc1)F)F)c(nn2)C1CCOCC1,7,4.79412
c1ncc2n(c1OCCc1cc(c(cc1)F)F)c(nn2)N1Cc2c(C1)cccc2,7,4.69579
c1ncc2n(c1OCCc1cc(c(cc1)F)F)c(nn2)N1CCCCC1,7,4.70169
c1ncc2n(c1OCCc1cc(c(cc1)F)F)c(nn2)Nc1cc(c(cc1)F)F,9.84625,4.28293
c1ncc2nnc(n2c1C(Nc1ccc(c(c1)F)F)=O)c1ccc(cc1)OC(F)F,7.58211,4.16736
c1ncc2nnc(n2c1C(Nc1ccc(cc1)F)=O)c1ccc(cc1)OC(F)F,9.86757,4.37473
c1ncc2nnc(n2c1OCc1cccc2c1cccc2)c1ccc(cc1)OC(F)F,7,4.72497
c1ncc2nnc(n2c1OCCc1ccc(c(c1)F)F)N1CCc2c1ccc(c2)F,7,4.6669
CC(N1C2=CC(F)=CC=C2)=CC(/C=C(C(N/3C4=CC=CC=C4)=O)\SC3=N/C5=CC=CC=C5)=C1C,7,4.28879
CC(N1C2=CC=C(C(F)(F)F)C=C2)=C(/C=C(C(N/3C4CCCC4)=O)\SC3=N/C5=CC=CC=C5)C=C1C,7,5.26099
CC(N1C2=CC=C(C(F)(F)F)C=C2)=C(/C=C(C(N/3CC#N)=O)\SC3=N/C4=CC=CC=C4)C=C1C,7,4.25569
CC(N1C2=CC=C(C(F)(F)F)C=C2)=C(/C=C3SC(N(CC#N)C4=CC=CC=C4)=NC\3=O)C=C1C,7,6.57273
CC(N1C2=CC=C(C(F)(F)F)C=C2)=CC(/C=C(C(N/3C4=CC=CC=C4)=O)\SC3=N/C5=CC=CC=C5)=C1C,7,2.62461
CC(N1C2=CC=C(C(F)(F)F)C=C2)=CC(C(O)=O)=C1C,5.39466,7
CC(N1C2=CC=C(F)C=C2)=C(C(CCC(N)=O)=O)C=C1C,7,7
CC(N1C2=CC=C(F)C=C2)=C(C(OC(C)C(N)=O)=O)C=C1C,7,7
CC(N1C2=CC=C(F)C=C2)=CC(C(NCC(N)=O)=O)=C1C,7,7
CC(N1C2=CC=C(F)C=C2)=CC(C(OCC(NC(C3=O)=C(N(N3C4=CC=CC=C4)C)C)=O)=O)=C1C,9.674,7
CC(N1C2=CC=CC=C2)=CC(C(O)=O)=C1C,4.41729,7
CC(N1C2=CC=CC=C2)=CC(C=O)=C1C,7,7
CC1=C(/C=C2S/C(NC\2=O)=N\C3=CC=CC=C3)C=C(C)N1C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4,6.33736,4.90673
CC1=C(/C=C2S/C(NC\2=O)=N\C3=CC=CC=C3)C=C(C)N1C4=CC=C(C)C=C4,10.1055,4.39622
CC1=CC(/C=C(C(N/2)=O)\SC2=N/C3=CC=CC=C3)=C(C)N1C(C=C4)=CC=C4C(F)(F)F,7.9514,4.92647
CC1=CC(/C=C(S/2)/C(NC2=N\C3=CC=CC=C3)=O)=C(C)N1C4=CC=C(N)C=C4,10.205,4.73694
CC1=CC(=C(C)[N]1C2=CC=C(C=C2)Br)C(N(C)CC(=NC)O)=O,8.90513,7.80422
CC1=CC(=C(C)[N]1C2=CC=C(C=C2)Cl)CNC3CCN(CC3)CC(=NC)O,8.78618,8.82605
CC1=CC(=C(C)[N]1C2=CC=C(C=C2)F)C(=O)OCC(=NC)O,3.77166,8.19876
CC1=CC(=C(C)[N]1C2=CC=C(C=C2)F)C(=O)OCC(N(C)C)=O,7,7
CC1=CC(=C(C)[N]1C2=CC=CC=C2)C(=NCC(N(C)C)=O)O,3.23976,9.38138
CC1=CC(=C(C)[N]1C2=CC=CC=C2)C(N3CCN=C(C3)O)=O,8.03846,7.99082
CC1=CC(=C(C)[N]1C2=CC=CC=C2)C3=NN=C(O3)SCC(=NC4=CC(=CC=C4)OC)O,7.4738,5.17378
CC1=CC(=CC=C1)[N]2C(=CC(=C2C)C(N(C)CC(N=C3C=C(C)ON3)=O)=O)C,9.00605,4.90793
CC1=CC(C=O)=C(C)N1C1=CC=C(F)C=C1,7,7
CC1=CC=C(N2C(C)=C(C(O)=O)C=C2C)C=C1,4.41965,7
CC1=CC=C(N2C(C)=C(C=O)C=C2C)C=C1,7,7
CCC1=CC=C(C=C1)[N]2C(=CC(=C2C)CN3CCC(CC3)C(=O)O)C,3.20727,9.86847
CCN(CC(=NC1=C(C=CC=C1F)F)O)C(C2=C(C)[N](C(=C2)C)C3=CC=C(C=C3)F)=O,6.67397,5.60662
CCN=C([C@@H]1C[C@H](CN1CC2=C(C)[N](C(=C2)C)C3=CC=CC=C3Cl)N)O,7.16602,9.25744
CCOC(C1=C(C)N(C2=CC=C(C=C2)C)C(C)=C1)=O,7,7
CCOC(C1=CC=C(N2C(C)=CC(/C=C(C(N/3)=O)\SC3=N/C4=CC=CC=C4)=C2C)C=C1)=O,8.83373,4.83826
ClC(C=C1)=C(Cl)C=C1C2=NN=C3C=NC=C(OCCC4=CC=CC=C4)N32,7,4.42753
ClC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC4=CC=C(F)C(F)=C4)N32,7,4.27739
ClC(C=CC=C1)=C1C2=NN=C3N2C(OCCC4=CC=CC=C4)=CN=C3,7,4.81782
ClC(C=CC=C1)=C1CCOC2=CC=CC3=NN=C(C4=CC=C(C#N)C=C4)N32,7,4.98255
ClC1=CC=CC(C(NC2=CC(C(F)(F)F)=NC=C2)=O)=N1,8.99034,4.42228
ClC1=CC=CC(C2=NN=C3C=NC=C(OCCC4=CC=CC=C4)N32)=C1Cl,7,4.75948
ClC1=CC=CC(C2=NN=C3N2C(OCCC4=CC=CC=C4)=CN=C3)=C1,7,4.59691
ClC1=CC=CC(N/N=C/C2=CC=C(C#N)C=C2)=N1,10.5511,5.3553
ClC1=CC=CC=C1CCOC2=CN=CC3=NN=C(C4=CC=NC=C4)N32,7,4.51208
ClC1=CC=CC2=NN=C(C3=CC=C(C#N)C=C3)N21,7,4.59136
FC(C(F)=C1)=CC=C1CCOC2=CC=CC3=NN=C(C4=CC=C(C#N)C=C4)N32,7,4.91429
FC(C=C1)=C(F)C=C1[C@@H](OC(F)F)COC2=CN=CC3=NN=C(C4=CC=C(C#N)C=C4)N32,7,4.49995
FC(C=C1)=C(F)C=C1C2=NN=C3C=NC=C(OCCC4=CC=CC=C4)N32,7,4.38048
FC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCCC4=CC=CC=C4)N32,7,4.46473
FC(C=C1)=CC=C1N2C(C)=C(C(N(C)C)=O)C=C2C,7,7
FC(C=C1)=CC=C1N2C(C)=C(C(N(C)CC(N)=O)=O)C=C2C,7,7
FC(C=C1)=CC=C1N2C(C)=C(C(NC(CO)C(OC)=O)=O)C=C2C,11.0586,7
FC(C=C1)=CC=C1N2C(C)=C(C(OC(C)(C)C(N)=O)=O)C=C2C,7,7
FC(C=C1)=CC=C1N2C(C)=C(C3=NC(C(OC)=O)=CO3)C=C2C,7,5.9493
FC(C=C1)=CC=C1N2C(C)=C(CN(C)CC(N)=O)C=C2C,7,8.20507
FC(C=C1)=CC=C1N2C(C)=C(CN3CCCC3)C=C2C,7,9.6816
FC(C=C1)=CC=C1N2C(C)=C(CNCC(N)=O)C=C2C,7,8.61011
FC(C=C1)=CC=C1N2C(C)=CC(CNC3CCN(CC4=CC=CC=C4)CC3)=C2C,7,9.52617
FC(C=C1)=CC=C1N2C=C(C(OCC(N)=O)=O)C=N2,7,5.43814
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OC(C)C4=CC=C(Cl)C(Cl)=C4)N32,7,4.47605
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OC[C@H](NC)C4=CC=CC=C4)N32,7,8.0405
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC4=CC=C(Cl)C(Cl)=C4)N32,7,4.40769
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC4=CC=C(Cl)C=C4)N32,7,4.29212
FC(F)Oc1ccc(cc1)c2nnc3cncc(OC)n23,7,4.30529
FC(F)Oc1ccc(cc1)c3nnc4cncc(OCC(N)c2ccccc2)n34,7,8.1624
FC(OC(C=C1)=CC=C1C2=NN=C3N2C(OCC4=NC=CC=C4)=CN=C3)F,7,4.57872
FC1=C(F)C=CC(CCOC2=CN=CC3=NN=C(C4=CC=C(OC(F)F)C=C4)N32)=C1,7,4.36271
FC1=CC(C2=NN=C3N2C(OCC4=NC=CC=C4)=CN=C3)=CC(F)=C1,7,4.3642
FC1=CC(C2=NN=C3N2C(OCCC4=CC=CC=C4)=CN=C3)=CC(F)=C1,7,4.41097
FC1=CC=C(C=C1)N2C(C)=CC(/C=C(SC(N(C3=CC=CC=C3)C(C)=O)=N4)/C4=O)=C2C,7,6.11427
FC1=CC=C(N2C(C)=C(S(N(CC(N)=O)C)(=O)=O)C(S(N(C)CC(N)=O)(=O)=O)=C2C)C=C1,7,7
FC1=CC=C(N2C(C)=CC(/C=C3S/C(NC\3=O)=N\C4=CC=CC=C4)=C2C)C=C1,9.60574,4.43293
FC1=CC=C(N2C(C)=CC(C(CCC(N(C)C)=O)=O)=C2C)C=C1,7,7
FC1=CC=C(N2C(C)=CC(C(CCC(NC)=O)=O)=C2C)C=C1,7,7
FC1=CC=C(N2C(C)=CC(C(CCC(O)=O)=O)=C2C)C=C1,4.26513,7
FC1=CC=C(N2C(C)=CC(C(N(C(NC3CCCCC3)=O)C4CCCCC4)=O)=C2C)C=C1,7,7
FC1=CC=C(N2C(C)=CC(C(NC3=C(C)N(C)N(C4=CC=CC=C4)C3=O)=O)=C2C)C=C1,10.8892,7
FC1=CC=C(N2C(C)=CC(C(NCC(NC3=C(C)N(C)N(C4=CC=CC=C4)C3=O)=O)=O)=C2C)C=C1,9.84954,7
FC1=CC=C(N2C(C)=CC(C(OC(C)C(O)=O)=O)=C2C)C=C1,4.41594,7
FC1=CC=C(N2C(C)=CC(C(OC(C)C(OCC)=O)=O)=C2C)C=C1,7,7
FC1=CC=C(N2C(C)=CC(C3=NC(C(O)=O)=CO3)=C2C)C=C1,4.27452,7.603
FC1=CC=C(N2C(C)=CC(S(N(C)CC(N)=O)(=O)=O)=C2C)C=C1,7,7
FC1=CC=C(N2C(C)=CC(S(NCC(N)=O)(=O)=O)=C2C)C=C1,7,7
FC1=CC=C(N2N=CC(C3=NC(C(N)=O)=CO3)=C2C)C=C1,7,5.88344
